state,year,net in,net out,net total,pct_renters,median_age,pct_female,pct_age_20_34,pct_age_65_plus,pct_college_grads,pct_unemployed,pct_nilf,median_income,home_value
Alabama,2010,0.022988221398880942,0.021080168206234286,0.0019080531926466554,0.283011842,37,0.514474334,0.19626949,0.137869366,0.15211759,0.054837964,0.319747903,16300,127509.75499772973
Alaska,2010,0.051674741882345575,0.1253201094228303,-0.07364536754048473,0.32002353,33,0.478868604,0.224769428,0.075924564,0.18315931,0.049061255,0.216120787,26700,250546.54139581547
Arizona,2010,0.03517014470408443,0.028293015689940765,0.006877129014143665,0.341153059,35,0.502916163,0.203152546,0.138255435,0.174078232,0.055729133,0.300987552,18400,160743.65919897938
Arkansas,2010,0.027395661952481457,0.022430190986807638,0.004965470965673818,0.312557888,37,0.5101143,0.193059228,0.144073499,0.134420247,0.046318018,0.311392433,16500,122385.45608238257
California,2010,0.012050239546295471,0.015607044046718135,-0.0035568045004226636,0.424192295,35,0.502885123,0.216950634,0.114351535,0.202323451,0.063666173,0.279098602,18500,314491.0097499106
Colorado,2010,0.03736144773956084,0.028650761439522485,0.008710686300038357,0.314995372,36,0.498030826,0.213399059,0.109247622,0.252351571,0.053800194,0.240473743,23000,230643.2012719344
Connecticut,2010,0.021838410503266455,0.025292909211023135,-0.00345449870775668,0.274599093,39,0.515751286,0.182013059,0.141953771,0.253084016,0.057550964,0.254660165,25000,262880.54602703324
Delaware,2010,0.0345679761567612,0.033972121497101826,0.0005958546596593756,0.247946973,38,0.515734594,0.194157612,0.143094505,0.19348744,0.047681127,0.287039229,22500,246985.56400313912
District of Columbia,2010,0.08587223731330028,0.09428522407290907,-0.00841298675960879,0.523122559,33,0.528256126,0.311939886,0.11506271,0.386173946,0.07427211,0.277665923,27000,378447.01794525655
Florida,2010,0.02589550397906433,0.023200690229928968,0.002694813749135362,0.31209087,40,0.511192557,0.186235275,0.173881034,0.186606653,0.064870023,0.321559527,17900,147362.48915113768
Georgia,2010,0.02601990542217742,0.025683332618719315,0.00033657280345810586,0.325374692,35,0.511696523,0.20662497,0.106395958,0.182264725,0.061958158,0.275722833,17500,139920.62865461575
Hawaii,2010,0.03979947618389718,0.03717076817926071,0.002628708004636472,0.372259594,38,0.498674485,0.202749884,0.145465639,0.20505551,0.040679192,0.267287611,24100,422890.11902415234
Idaho,2010,0.035873103683057087,0.034444480466850384,0.0014286232162067022,0.27606669,34,0.498108117,0.203323046,0.125148748,0.160257087,0.046555092,0.27253492,18000,166192.33992415763
Illinois,2010,0.016084934802698334,0.021870466616808314,-0.005785531814109981,0.289853841,36,0.509549592,0.206382912,0.125829721,0.215246147,0.059025166,0.265142333,20400,168992.1063033844
Indiana,2010,0.019852804315977492,0.02035728545130477,-0.0005044811353272782,0.267039471,36,0.507351608,0.198251446,0.129729497,0.156648031,0.054315604,0.278622184,19500,116372.09805763287
Iowa,2010,0.02408089071118231,0.022338741604028597,0.0017421491071537148,0.23715795,38,0.506314832,0.195238637,0.14862898,0.176954985,0.038515904,0.247218008,22100,122144.73768629116
Kansas,2010,0.03369818220748458,0.032337069219750214,0.0013611129877343642,0.278803736,36,0.505686792,0.20117104,0.132813765,0.203540959,0.039407254,0.248742204,21000,121679.51393719128
Kentucky,2010,0.027566430412236168,0.021876223934963406,0.005690206477272763,0.289203192,38,0.507810613,0.197917707,0.1335222,0.14558819,0.053184504,0.314609368,17000,111719.95934397541
Louisiana,2010,0.021833024833786064,0.01975228898035148,0.0020807358534345836,0.304483622,35,0.510096324,0.213939309,0.122867955,0.146693124,0.047780173,0.293398791,17300,160973.0951193047
Maine,2010,0.021126385377296025,0.024480058127692435,-0.00335367275039641,0.237590269,42,0.51214741,0.170309295,0.159184433,0.196149046,0.041409586,0.293926408,20900,184263.86539126083
Maryland,2010,0.02877211579585379,0.028213064350409132,0.0005590514454446582,0.298379601,37,0.515687225,0.200239994,0.12308386,0.253639745,0.048769077,0.243657516,27000,265961.2469710424
Massachusetts,2010,0.021599106214123358,0.022403241563427725,-0.0008041353493043676,0.318436955,39,0.515895068,0.202029539,0.138221426,0.281872869,0.056467387,0.260273279,25000,318068.96670083056
Michigan,2010,0.011897919377611046,0.01822119084199249,-0.006323271464381445,0.245548047,39,0.509240933,0.184835163,0.137916962,0.177370881,0.073553283,0.298334895,18500,103639.43363268058
Minnesota,2010,0.01713722594777982,0.02001876048207063,-0.002881534534290811,0.228166243,37,0.503295683,0.199903815,0.128975457,0.224847399,0.044364047,0.232026082,24500,177822.72057591844
Mississippi,2010,0.024672594557639323,0.023417134863213077,0.0012554596944262461,0.292430799,36,0.514925745,0.199306002,0.12914793,0.132241158,0.055361955,0.321784988,14700,116707.14024397079
Missouri,2010,0.02452786403592182,0.02507833220579223,-0.0005504681698704078,0.279280268,37,0.511021006,0.197720868,0.141162507,0.177570044,0.050524905,0.28103537,19700,133350.5813034344
Montana,2010,0.036412616363500724,0.036777258182094076,-0.0003646418185933517,0.273916185,40,0.495510133,0.187816506,0.150431225,0.209133533,0.037652715,0.28409685,20000,185447.4907116803
Nebraska,2010,0.028451814142920303,0.02435063663732873,0.004101177505591573,0.286666131,36,0.503684109,0.205447466,0.135199453,0.189414066,0.036697408,0.227235255,22000,132791.03281962563
Nevada,2010,0.03849380886898076,0.04117640417300194,-0.002682595304021179,0.421977105,36,0.495093251,0.208503011,0.120959816,0.146449327,0.073293619,0.263852295,20800,151475.12930790472
